category_id,category,category_order,subcategory_id,subcategory,subcategory_order
air-and-compressed-air,Air & Compressed Air,1,air-and-compressed-air__air-compressors,Air compressors,1
air-and-compressed-air,Air & Compressed Air,1,air-and-compressed-air__air-hoses-and-reels,Air hoses & reels,2
air-and-compressed-air,Air & Compressed Air,1,air-and-compressed-air__fittings-couplers-and-manifolds,"Fittings, couplers & manifolds",3
air-and-compressed-air,Air & Compressed Air,1,air-and-compressed-air__regulators-filters-and-dryers,"Regulators, filters & dryers",4
air-and-compressed-air,Air & Compressed Air,1,air-and-compressed-air__blow-guns-and-air-nozzles,Blow guns & air nozzles,5
air-and-compressed-air,Air & Compressed Air,1,air-and-compressed-air__tire-inflators-and-gauges,Tire inflators & gauges,6
air-and-compressed-air,Air & Compressed Air,1,air-and-compressed-air__air-tool-oil-and-lubricators,Air tool oil & lubricators,7
air-and-compressed-air,Air & Compressed Air,1,air-and-compressed-air__piping-and-distribution,Piping & distribution,8
automotive,Automotive,2,automotive__lifting-and-support,"Lifting & support (jacks, stands, ramps)",1
automotive,Automotive,2,automotive__diagnostics-and-scan-tools,Diagnostics & scan tools,2
automotive,Automotive,2,automotive__fluid-service,"Fluid service (oil, coolant, transmission, brake)",3
automotive,Automotive,2,automotive__brake-and-suspension-service,Brake & suspension service,4
automotive,Automotive,2,automotive__tire-and-wheel-service,Tire & wheel service,5
automotive,Automotive,2,automotive__engine-and-drivetrain-service,Engine & drivetrain service,6
automotive,Automotive,2,automotive__battery-and-charging,Battery & charging,7
automotive,Automotive,2,automotive__body-repair,Body repair,8
automotive,Automotive,2,automotive__vehicle-detailing,Vehicle detailing,9
bicycle,Bicycle,3,bicycle__drivetrain-tools,"Drivetrain tools (chain, cassette, bottom bracket)",1
bicycle,Bicycle,3,bicycle__wheel-and-tire-tools,Wheel & tire tools,2
bicycle,Bicycle,3,bicycle__brake-and-hydraulic-tools,Brake & hydraulic tools,3
bicycle,Bicycle,3,bicycle__repair-stands-and-workholding,Repair stands & workholding,4
bicycle,Bicycle,3,bicycle__components-and-spare-parts,Components & spare parts,5
bicycle,Bicycle,3,bicycle__cleaning-and-lubrication,Cleaning & lubrication,6
bicycle,Bicycle,3,bicycle__riding-gear-and-apparel,Riding gear & apparel,7
bicycle,Bicycle,3,bicycle__racks-transport-and-storage,"Racks, transport & storage",8
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__wood-glue,Wood glue,1
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__cyanoacrylate-and-instant-adhesives,Cyanoacrylate & instant adhesives,2
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__two-part-epoxies,Two-part epoxies,3
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__construction-and-panel-adhesive,Construction & panel adhesive,4
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__contact-cement-and-spray-adhesive,Contact cement & spray adhesive,5
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__hot-melt-glue-and-sticks,Hot melt glue & sticks,6
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__sealants-and-caulk,Sealants & caulk,7
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__threadlockers-and-retaining-compounds,Threadlockers & retaining compounds,8
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__lubricants-and-penetrants,Lubricants & penetrants,9
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__greases-and-anti-seize,Greases & anti-seize,10
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__solvents-and-degreasers,Solvents & degreasers,11
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__rust-prevention-and-treatment,Rust prevention & treatment,12
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__shop-cleaners-and-soaps,Shop cleaners & soaps,13
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__sandpaper-and-sheets,Sandpaper & sheets,14
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__sanding-discs-and-belts,Sanding discs & belts,15
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__flap-discs-and-grinding-wheels,Flap discs & grinding wheels,16
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__cutoff-wheels,Cutoff wheels,17
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__wire-wheels-and-brushes,Wire wheels & brushes,18
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__polishing-and-buffing-compounds,Polishing & buffing compounds,19
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__duct-masking-and-electrical-tape,"Duct, masking & electrical tape",20
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__double-sided-and-mounting-tape,Double-sided & mounting tape,21
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__specialty-films-and-wraps,Specialty films & wraps,22
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__shop-rags-towels-and-disposables,"Shop rags, towels & disposables",23
chemicals-and-consumables,Chemicals & Consumables,4,chemicals-and-consumables__filters-and-replacement-consumables,Filters & replacement consumables,24
cleaning,Cleaning,5,cleaning__shop-vacuums-and-dust-extraction,Shop vacuums & dust extraction,1
cleaning,Cleaning,5,cleaning__air-filtration,Air filtration,2
cleaning,Cleaning,5,cleaning__pressure-washers,Pressure washers,3
cleaning,Cleaning,5,cleaning__floor-care,"Floor care (brooms, mops, scrubbers, squeegees)",4
cleaning,Cleaning,5,cleaning__parts-washers-and-solvent-tanks,Parts washers & solvent tanks,5
cleaning,Cleaning,5,cleaning__brushes-rags-and-wipes,"Brushes, rags & wipes",6
cleaning,Cleaning,5,cleaning__waste-and-recycling-containers,Waste & recycling containers,7
craft,Craft,6,craft__sewing-and-textiles,Sewing & textiles,1
craft,Craft,6,craft__leatherwork,Leatherwork,2
craft,Craft,6,craft__jewelry-and-small-metalwork,Jewelry & small metalwork,3
craft,Craft,6,craft__figurine-sculpting-and-painting,Figurine sculpting & painting,4
craft,Craft,6,craft__model-building-and-miniatures,Model building & miniatures,5
craft,Craft,6,craft__prototyping-and-desktop-3d-printing,Prototyping & desktop 3D printing,6
craft,Craft,6,craft__resin-casting-and-molds,"Resin, casting & molds",7
craft,Craft,6,craft__paper-vinyl-and-die-cutting,"Paper, vinyl & die cutting",8
craft,Craft,6,craft__pottery-and-clay,Pottery & clay,9
craft,Craft,6,craft__art-and-drafting-supplies,Art & drafting supplies,10
craft,Craft,6,craft__brewing-and-fermentation,Brewing & fermentation,11
craft,Craft,6,craft__winemaking-and-pressing,Winemaking & pressing,12
craft,Craft,6,craft__bottling-kegging-and-capping,"Bottling, kegging & capping",13
craft,Craft,6,craft__sanitizing-and-cleaning-supplies,Sanitizing & cleaning supplies,14
electrical,Electrical,7,electrical__wire-strippers-and-crimpers,Wire strippers & crimpers,1
electrical,Electrical,7,electrical__conduit-benders-and-cutters,Conduit benders & cutters,2
electrical,Electrical,7,electrical__fish-tape-and-wire-pulling,Fish tape & wire pulling,3
electrical,Electrical,7,electrical__terminals-connectors-and-lugs,"Terminals, connectors & lugs",4
electrical,Electrical,7,electrical__wire-cable-and-raceway,"Wire, cable & raceway",5
electrical,Electrical,7,electrical__boxes-outlets-and-switches,"Boxes, outlets & switches",6
electrical,Electrical,7,electrical__breakers-and-panel-hardware,Breakers & panel hardware,7
electrical,Electrical,7,electrical__extension-cords-and-reels,Extension cords & reels,8
electronic,Electronic,8,electronic__soldering-and-rework,Soldering & rework,1
electronic,Electronic,8,electronic__desoldering-and-hot-air,Desoldering & hot air,2
electronic,Electronic,8,electronic__prototyping,"Prototyping (breadboards, perfboard)",3
electronic,Electronic,8,electronic__pcb-fabrication-and-assembly,PCB fabrication & assembly,4
electronic,Electronic,8,electronic__components-and-modules,Components & modules,5
electronic,Electronic,8,electronic__microcontrollers-and-single-board-computers,Microcontrollers & single-board computers,6
electronic,Electronic,8,electronic__esd-protection-and-handling,ESD protection & handling,7
electronic,Electronic,8,electronic__hookup-wire-and-headers,Hookup wire & headers,8
electronic,Electronic,8,electronic__enclosures-and-panel-hardware,Enclosures & panel hardware,9
fasteners,Fasteners,9,fasteners__screws,"Screws (wood, machine, sheet metal, deck)",1
fasteners,Fasteners,9,fasteners__bolts-nuts-and-washers,"Bolts, nuts & washers",2
fasteners,Fasteners,9,fasteners__nails-brads-and-staples,"Nails, brads & staples",3
fasteners,Fasteners,9,fasteners__anchors-and-concrete-fasteners,Anchors & concrete fasteners,4
fasteners,Fasteners,9,fasteners__rivets-and-rivet-nuts,Rivets & rivet nuts,5
fasteners,Fasteners,9,fasteners__pins-clips-and-retaining-rings,"Pins, clips & retaining rings",6
fasteners,Fasteners,9,fasteners__threaded-rod-and-inserts,Threaded rod & inserts,7
fasteners,Fasteners,9,fasteners__assortment-kits-and-organizers,Assortment kits & organizers,8
fishing,Fishing,10,fishing__rods-and-reels,Rods & reels,1
fishing,Fishing,10,fishing__line-leader-and-terminal-tackle,"Line, leader & terminal tackle",2
fishing,Fishing,10,fishing__lures-baits-and-flies,"Lures, baits & flies",3
fishing,Fishing,10,fishing__nets-gaffs-and-landing-gear,"Nets, gaffs & landing gear",4
fishing,Fishing,10,fishing__fish-finders-and-marine-electronics,Fish finders & marine electronics,5
fishing,Fishing,10,fishing__rod-building-and-lure-making,Rod building & lure making,6
fishing,Fishing,10,fishing__waders-apparel-and-pfds,"Waders, apparel & PFDs",7
fishing,Fishing,10,fishing__tackle-boxes-and-rod-storage,Tackle boxes & rod storage,8
fitness,Fitness,11,fitness__cardio-equipment,Cardio equipment,1
fitness,Fitness,11,fitness__free-weights-and-barbells,Free weights & barbells,2
fitness,Fitness,11,fitness__racks-benches-and-cages,"Racks, benches & cages",3
fitness,Fitness,11,fitness__machines-and-cable-systems,Machines & cable systems,4
fitness,Fitness,11,fitness__bands-ropes-and-bodyweight-gear,"Bands, ropes & bodyweight gear",5
fitness,Fitness,11,fitness__recovery-and-mobility,Recovery & mobility,6
fitness,Fitness,11,fitness__flooring-and-mats,Flooring & mats,7
fitness,Fitness,11,fitness__equipment-storage-and-racks,Equipment storage & racks,8
garage-door,Garage Door,12,garage-door__openers-and-drives,Openers & drives,1
garage-door,Garage Door,12,garage-door__remotes-keypads-and-receivers,"Remotes, keypads & receivers",2
garage-door,Garage Door,12,garage-door__torsion-and-extension-springs,Torsion & extension springs,3
garage-door,Garage Door,12,garage-door__cables-drums-and-bearings,"Cables, drums & bearings",4
garage-door,Garage Door,12,garage-door__tracks-rollers-and-hinges,"Tracks, rollers & hinges",5
garage-door,Garage Door,12,garage-door__panels-and-sections,Panels & sections,6
garage-door,Garage Door,12,garage-door__weather-seals-and-thresholds,Weather seals & thresholds,7
garage-door,Garage Door,12,garage-door__safety-sensors-and-reversing,Safety sensors & reversing,8
garage-door,Garage Door,12,garage-door__locks-and-security-hardware,Locks & security hardware,9
garage-door,Garage Door,12,garage-door__insulation-kits,Insulation kits,10
